zip,metro,area_name,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br
21201,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1460,1670,2040,2630,2930
21202,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1590,1810,2220,2860,3190
21205,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1250,1430,1750,2270,2570
21206,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1250,1430,1750,2270,2570
21207,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1250,1430,1750,2270,2570
21208,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1530,1740,2130,2740,3060
21209,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1510,1720,2110,2720,3030
21210,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1350,1540,1890,2430,2720
21211,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1360,1550,1900,2450,2730
21212,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1310,1490,1830,2360,2630
21213,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1250,1430,1750,2270,2570
21214,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1250,1430,1750,2270,2570
21215,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1250,1430,1750,2270,2570
21216,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1250,1430,1750,2270,2570
21217,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1250,1430,1750,2270,2570
21218,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1250,1430,1750,2270,2570
21222,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1250,1430,1750,2270,2570
21223,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1250,1430,1750,2270,2570
21224,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1580,1800,2200,2830,3160
21225,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1250,1430,1750,2270,2570
21226,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1310,1490,1830,2360,2630
21227,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1250,1430,1750,2270,2570
21228,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1340,1530,1870,2410,2690
21229,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1250,1430,1750,2270,2570
21230,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1550,1760,2160,2780,3110
21231,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1680,1920,2350,3020,3380
21234,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1340,1530,1870,2410,2690
21236,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1400,1600,1960,2520,2820
21237,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1270,1450,1780,2290,2570
21239,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1250,1430,1750,2270,2570
60004,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1810,1930,2180,2800,3290
60005,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1570,1670,1890,2430,2850
60007,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1620,1740,1960,2520,2960
60008,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1620,1730,1950,2500,2940
60016,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1520,1630,1840,2360,2780
60018,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1220,1300,1470,1890,2220
60022,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2040,2180,2460,3160,3720
60025,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1720,1840,2080,2670,3140
60026,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2000,2130,2410,3100,3640
60029,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1880,2010,2270,2910,3420
60043,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2100,2240,2530,3250,3810
60053,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2190,2340,2640,3390,3980
60056,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1550,1660,1870,2400,2820
60062,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1960,2100,2370,3040,3580
60067,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1570,1680,1900,2440,2870
60068,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1600,1710,1930,2480,2910
60070,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1390,1490,1680,2160,2530
60074,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1530,1640,1850,2380,2790
60076,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1580,1690,1910,2450,2880
60077,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1490,1590,1800,2310,2720
60090,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1570,1680,1900,2440,2870
60091,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2100,2240,2530,3250,3820
60093,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2090,2230,2520,3240,3800
60104,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1230,1320,1490,1910,2250
60107,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1970,2110,2380,3060,3590
60130,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1370,1460,1650,2120,2490
60131,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1190,1280,1440,1850,2170
60133,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1590,1700,1920,2470,2900
60141,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1110,1190,1350,1720,2040
60153,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1230,1310,1480,1900,2230
60154,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1780,1900,2150,2760,3240
60155,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1160,1240,1400,1800,2110
60160,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1260,1350,1520,1950,2290
60162,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1510,1610,1820,2340,2750
60163,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1130,1200,1360,1750,2050
60164,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1150,1230,1390,1790,2100
60165,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1220,1300,1470,1890,2220
60169,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1660,1780,2010,2580,3030
60171,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1280,1370,1550,1990,2340
60173,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1900,2040,2300,2950,3470
60176,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1330,1420,1600,2060,2410
60192,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2190,2340,2640,3390,3980
60193,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1830,1960,2210,2840,3330
60194,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1900,2030,2290,2940,3460
60195,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1720,1840,2080,2670,3140
60201,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1960,2100,2370,3040,3580
60202,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1750,1870,2110,2710,3180
60203,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2050,2200,2480,3190,3740
60301,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2190,2340,2640,3390,3980
60302,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1490,1590,1800,2310,2720
60304,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1370,1460,1650,2120,2490
60305,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1520,1630,1840,2360,2780
60402,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1330,1420,1600,2060,2410
60406,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1110,1190,1340,1720,2020
60409,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1180,1270,1430,1840,2160
60411,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1170,1250,1410,1810,2130
60412,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1430,1530,1730,2220,2610
60415,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1210,1290,1460,1880,2200
60419,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1600,1710,1930,2480,2910
60422,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2190,2340,2640,3390,3980
60425,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1760,1880,2120,2720,3200
60426,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1130,1210,1370,1760,2070
60428,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1690,1810,2040,2620,3080
60429,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1570,1670,1890,2430,2850
60430,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1410,1510,1700,2180,2560
60438,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1270,1360,1530,1970,2310
60439,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1360,1450,1640,2110,2470
60443,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1640,1750,1980,2540,2990
60445,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1220,1300,1470,1890,2220
60452,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1320,1410,1590,2040,2400
60453,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1350,1440,1630,2090,2460
60454,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1430,1530,1730,2220,2610
60455,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1130,1210,1370,1760,2070
60456,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1410,1500,1700,2180,2560
60457,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1150,1230,1390,1790,2100
60458,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1310,1400,1580,2030,2380
60459,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1340,1430,1620,2080,2440
60461,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2190,2340,2640,3390,3980
60462,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1490,1590,1800,2310,2720
60463,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1690,1810,2040,2620,3080
60464,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2080,2220,2510,3220,3790
60465,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1330,1420,1600,2060,2410
60466,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1520,1630,1840,2360,2780
60467,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1690,1810,2040,2620,3080
60469,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1330,1430,1610,2070,2430
60471,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1340,1430,1620,2080,2440
60472,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1260,1350,1520,1950,2290
60473,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1910,2050,2310,2970,3490
60475,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1050,1120,1270,1630,1920
60476,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1270,1360,1530,1970,2310
60477,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1420,1520,1720,2210,2600
60478,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1810,1940,2190,2810,3300
60480,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1470,1570,1770,2270,2670
60482,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1230,1320,1490,1910,2250
60499,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1430,1530,1730,2220,2610
60501,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1080,1160,1310,1680,1980
60513,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1270,1360,1530,1970,2310
60525,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1420,1520,1720,2210,2600
60526,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1420,1510,1710,2200,2580
60534,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1170,1250,1410,1810,2130
60546,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1300,1390,1570,2020,2370
60558,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2190,2340,2640,3390,3980
60601,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2190,2340,2640,3390,3980
60602,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2190,2340,2640,3390,3980
60603,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2190,2340,2640,3390,3980
60604,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2190,2340,2640,3390,3980
60605,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2190,2340,2640,3390,3980
60606,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2190,2340,2640,3390,3980
60607,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2190,2340,2640,3390,3980
60608,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1200,1280,1450,1860,2190
60609,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1010,1080,1220,1570,1840
60610,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2190,2340,2640,3390,3980
60611,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2190,2340,2640,3390,3980
60612,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1480,1590,1790,2300,2700
60613,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2190,2340,2640,3390,3980
60614,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2190,2340,2640,3390,3980
60615,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1720,1840,2080,2670,3140
60616,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1560,1670,1880,2410,2840
60617,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1050,1120,1270,1630,1920
60618,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1580,1690,1910,2450,2880
60619,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1180,1270,1430,1840,2160
60620,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1180,1270,1430,1840,2160
60621,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1080,1160,1310,1680,1980
60622,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2020,2160,2440,3130,3680
60623,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1080,1150,1300,1670,1960
60624,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1250,1340,1510,1940,2280
60625,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1700,1820,2050,2630,3090
60626,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1620,1730,1950,2500,2940
60628,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1200,1280,1450,1860,2190
60629,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1100,1180,1330,1710,2010
60630,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1490,1590,1800,2310,2720
60631,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1470,1580,1780,2290,2690
60632,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1050,1120,1270,1630,1920
60633,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1200,1280,1450,1860,2190
60634,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1370,1460,1650,2120,2490
60636,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1050,1120,1270,1630,1920
60637,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1230,1310,1480,1900,2230
60638,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1280,1370,1550,1990,2340
60639,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1270,1360,1530,1970,2310
60640,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1870,2000,2260,2900,3410
60641,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1390,1490,1680,2160,2530
60642,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2190,2340,2640,3390,3980
60643,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1360,1450,1640,2110,2470
60644,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1180,1260,1420,1820,2140
60645,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1570,1670,1890,2430,2850
60646,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1430,1530,1730,2220,2610
60647,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1760,1890,2130,2740,3210
60649,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1240,1330,1500,1930,2260
60651,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1280,1360,1540,1980,2320
60652,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1510,1610,1820,2340,2750
60653,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1150,1230,1390,1790,2100
60654,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2190,2340,2640,3390,3980
60655,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1370,1470,1660,2130,2500
60656,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1450,1550,1750,2250,2640
60657,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2190,2340,2640,3390,3980
60659,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1490,1590,1800,2310,2720
60660,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1740,1860,2100,2700,3170
60661,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2190,2340,2640,3390,3980
60706,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1310,1400,1580,2030,2380
60707,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1380,1480,1670,2150,2520
60712,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2190,2340,2640,3390,3980
60714,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1320,1410,1590,2040,2400
60803,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1150,1230,1390,1790,2100
60804,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1210,1290,1460,1880,2200
60805,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1340,1430,1620,2080,2440
60827,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1190,1280,1440,1850,2170
33018,Miami,"Fort Lauderdale, FL HUD Metro FMR Area",2000,2220,2720,3510,4120
33054,Miami,"Fort Lauderdale, FL HUD Metro FMR Area",1320,1470,1800,2320,2730
33056,Miami,"Fort Lauderdale, FL HUD Metro FMR Area",1670,1850,2270,2930,3440
33179,Miami,"Fort Lauderdale, FL HUD Metro FMR Area",1650,1830,2250,2910,3410
