zip,jurisdiction,neighborhood,property_type,pt_short,price,sqft,rent_monthly,rent_annual,gross_yield,br_label,rent_alt,yield_alt,br_alt_label
22301,Alexandria,Del Ray,Condo/Co-op,Condo,621400.0,907.0050745381342,2420,29040,4.6733183134856775,1BR,2720,5.252655294496298,2BR
22301,Alexandria,Del Ray,Single Family Residential,Single Family,1325000.0,2118.211929824678,3400,40800,3.079245283018868,3BR,4010,3.6316981132075474,4BR
22301,Alexandria,Del Ray,Townhouse,Townhouse,901750.0,1662.3290038579519,3400,40800,4.524535625173274,3BR,2720,3.619628500138619,2BR
22302,Alexandria,Jefferson Park,Condo/Co-op,Condo,315000.0,803.5011228166388,2110,25320,8.038095238095238,1BR,2380,9.066666666666666,2BR
22302,Alexandria,Jefferson Park,Single Family Residential,Single Family,1122250.0,2328.584367108836,2980,35760,3.186455780797505,3BR,3510,3.753174426375585,4BR
22302,Alexandria,Jefferson Park,Townhouse,Townhouse,444875.0,948.0547091416431,2980,35760,8.038212981174487,3BR,2380,6.419780837313851,2BR
22303,Alexandria,Groveton,Condo/Co-op,Condo,350625.0,904.656203916257,2220,26640,7.597860962566845,1BR,2500,8.55614973262032,2BR
22303,Alexandria,Groveton,Single Family Residential,Single Family,611500.0,1285.2931797336046,3130,37560,6.14227309893704,3BR,3690,7.241210139002454,4BR
22303,Alexandria,Groveton,Townhouse,Townhouse,596500.0,1280.7444852945791,3130,37560,6.296730930427493,3BR,2500,5.029337803855825,2BR
22304,Alexandria,Seminary / Landmark,Condo/Co-op,Condo,318750.0,1062.7961378872717,2250,27000,8.470588235294118,1BR,2530,9.52470588235294,2BR
22304,Alexandria,Seminary / Landmark,Single Family Residential,Single Family,985000.0,2662.801731496735,3160,37920,3.849746192893401,3BR,3730,4.544162436548223,4BR
22304,Alexandria,Seminary / Landmark,Townhouse,Townhouse,720000.0,1952.4398150711918,3160,37920,5.266666666666667,3BR,2530,4.216666666666667,2BR
22305,Alexandria,Arlandria / Potomac Yard,Condo/Co-op,Condo,337475.0,852.5616803735891,2010,24120,7.147196088599156,1BR,2260,8.036150825987109,2BR
22305,Alexandria,Arlandria / Potomac Yard,Single Family Residential,Single Family,1046750.0,1919.2912430020233,2830,33960,3.244327680917124,3BR,3330,3.8175304513971815,4BR
22305,Alexandria,Arlandria / Potomac Yard,Townhouse,Townhouse,755480.75,1504.8873439987142,2830,33960,4.495150935348121,3BR,2260,3.5897671780518565,2BR
22306,Alexandria,Belle View / Hybla Valley,Condo/Co-op,Condo,366749.75,1145.654197663214,1870,22440,6.118613577787033,1BR,2110,6.903890186700877,2BR
22306,Alexandria,Belle View / Hybla Valley,Single Family Residential,Single Family,755000.0,2082.7503186985614,2640,31680,4.196026490066225,3BR,3110,4.943046357615894,4BR
22306,Alexandria,Belle View / Hybla Valley,Townhouse,Townhouse,665750.0,2028.32637165113,2640,31680,4.758542996620354,3BR,2110,3.803229440480661,2BR
22307,Alexandria,Fort Hunt / Hollin Hills,Condo/Co-op,Condo,274900.0,759.7874662806073,2060,24720,8.992360858493997,1BR,2320,10.127319025100036,2BR
22307,Alexandria,Fort Hunt / Hollin Hills,Single Family Residential,Single Family,1027500.0,2375.762211885287,2900,34800,3.386861313868613,3BR,3420,3.9941605839416057,4BR
22307,Alexandria,Fort Hunt / Hollin Hills,Townhouse,Townhouse,603750.0,1681.0022995728677,2900,34800,5.763975155279502,3BR,2320,4.611180124223602,2BR
22308,Alexandria,Waynewood / Mt Vernon,Single Family Residential,Single Family,923937.5,2324.93342672757,4340,52080,5.636744909693567,3BR,5120,6.64980044645877,4BR
22309,Alexandria,Mt Vernon South,Condo/Co-op,Condo,273750.0,993.4740696721875,1820,21840,7.978082191780822,1BR,2050,8.986301369863012,2BR
22309,Alexandria,Mt Vernon South,Single Family Residential,Single Family,785000.0,2302.2533197129333,2560,30720,3.9133757961783444,3BR,3020,4.61656050955414,4BR
22309,Alexandria,Mt Vernon South,Townhouse,Townhouse,462500.0,1632.8242290962894,2560,30720,6.642162162162162,3BR,2050,5.318918918918919,2BR
22310,Alexandria,Franconia / Rose Hill,Condo/Co-op,Condo,361900.0,914.322106755694,2370,28440,7.858524454269135,1BR,2670,8.853274385189279,2BR
22310,Alexandria,Franconia / Rose Hill,Single Family Residential,Single Family,730275.0,1982.3113950132013,3340,40080,5.488343432268666,3BR,3940,6.47427339016124,4BR
22310,Alexandria,Franconia / Rose Hill,Townhouse,Townhouse,638500.0,1856.9689083053306,3340,40080,6.277212216131558,3BR,2670,5.018010963194988,2BR
22311,Alexandria,Lincolnia / N Alexandria,Condo/Co-op,Condo,396500.0,953.1196477122171,2130,25560,6.44640605296343,1BR,2400,7.263556116015132,2BR
22311,Alexandria,Lincolnia / N Alexandria,Single Family Residential,Single Family,989444.0,2965.763609109377,3000,36000,3.6384070245511624,3BR,3540,4.293320288970371,4BR
22311,Alexandria,Lincolnia / N Alexandria,Townhouse,Townhouse,777050.0,2222.1730286401353,3000,36000,4.632906505372884,3BR,2400,3.706325204298308,2BR
22312,Alexandria,Lincolnia / Pinecrest,Condo/Co-op,Condo,288123.5,1026.24265562178,2060,24720,8.57965421078114,1BR,2320,9.662523188840897,2BR
22312,Alexandria,Lincolnia / Pinecrest,Single Family Residential,Single Family,788125.0,2163.114488339582,2900,34800,4.41554321966693,3BR,3420,5.207295796986519,4BR
22312,Alexandria,Lincolnia / Pinecrest,Townhouse,Townhouse,652625.0,1919.1992637241733,2900,34800,5.332311817659452,3BR,2320,4.265849454127562,2BR
22314,Alexandria,Old Town Alexandria,Condo/Co-op,Condo,565000.0,952.1529348662234,2890,34680,6.138053097345133,1BR,3250,6.902654867256637,2BR
22314,Alexandria,Old Town Alexandria,Single Family Residential,Single Family,1313340.0,2155.94080401847,4060,48720,3.709625839462744,3BR,4790,4.376627529809493,4BR
22314,Alexandria,Old Town Alexandria,Townhouse,Townhouse,1099750.0,1775.771923409259,4060,48720,4.43009774948852,3BR,3250,3.546260513753126,2BR
22315,Alexandria,Kingstowne / Hayfield,Condo/Co-op,Condo,429750.0,1186.4092276668216,2510,30120,7.008726003490401,1BR,2820,7.874345549738219,2BR
22315,Alexandria,Kingstowne / Hayfield,Single Family Residential,Single Family,912750.0,2905.384615385887,3530,42360,4.640920295809367,3BR,4160,5.469186524239935,4BR
22315,Alexandria,Kingstowne / Hayfield,Townhouse,Townhouse,678100.0,1962.671571584216,3530,42360,6.246866243916827,3BR,2820,4.9904143931573515,2BR
22201,Arlington,Clarendon / Courthouse,Condo/Co-op,Condo,481125.0,807.7059411879594,3040,36480,7.582229150428684,1BR,3420,8.530007794232269,2BR
22201,Arlington,Clarendon / Courthouse,Single Family Residential,Single Family,1592500.0,2650.6819083024557,4280,51360,3.225117739403454,3BR,5040,3.7978021978021976,4BR
22201,Arlington,Clarendon / Courthouse,Townhouse,Townhouse,980100.0,1712.8397362038295,4280,51360,5.240281603917968,3BR,3420,4.18732782369146,2BR
22202,Arlington,Crystal City,Condo/Co-op,Condo,552500.0,1111.9273852580282,3070,36840,6.667873303167421,1BR,3460,7.5149321266968325,2BR
22202,Arlington,Crystal City,Single Family Residential,Single Family,1225000.0,2424.523678856269,4330,51960,4.241632653061225,3BR,5100,4.995918367346939,4BR
22202,Arlington,Crystal City,Townhouse,Townhouse,722500.0,1524.2616033755276,4330,51960,7.191695501730104,3BR,3460,5.746712802768166,2BR
22203,Arlington,Ballston,Condo/Co-op,Condo,416875.0,851.6081634846698,2670,32040,7.685757121439281,1BR,3000,8.63568215892054,2BR
22203,Arlington,Ballston,Single Family Residential,Single Family,1122500.0,2198.4968610219007,3750,45000,4.008908685968819,3BR,4420,4.725167037861915,4BR
22203,Arlington,Ballston,Townhouse,Townhouse,1043750.0,1814.6444437729592,3750,45000,4.311377245508982,3BR,3000,3.4491017964071857,2BR
22204,Arlington,Columbia Pike,Condo/Co-op,Condo,302000.0,843.9259259269223,1970,23640,7.827814569536423,1BR,2220,8.821192052980132,2BR
22204,Arlington,Columbia Pike,Single Family Residential,Single Family,914575.0,1991.3450328942085,2780,33360,3.647595877866769,3BR,3270,4.290517453461991,4BR
22204,Arlington,Columbia Pike,Townhouse,Townhouse,600500.0,1352.3513598987024,2780,33360,5.555370524562864,3BR,2220,4.436303080766028,2BR
22205,Arlington,Westover / Bluemont,Single Family Residential,Single Family,1325000.0,2609.134099877964,2830,33960,2.5630188679245283,3BR,3330,3.015849056603774,4BR
22205,Arlington,Westover / Bluemont,Townhouse,Townhouse,939661.0,2187.678571428738,2830,33960,3.614069329258105,3BR,2260,2.886147238206119,2BR
22206,Arlington,Fairlington / Shirlington,Condo/Co-op,Condo,435500.0,953.503586573637,2580,30960,7.109070034443168,1BR,2900,7.990815154994259,2BR
22206,Arlington,Fairlington / Shirlington,Single Family Residential,Single Family,882375.0,2014.4809756533855,3630,43560,4.936676583085423,3BR,4280,5.820654483637909,4BR
22206,Arlington,Fairlington / Shirlington,Townhouse,Townhouse,635000.0,1462.7130859035044,3630,43560,6.8598425196850386,3BR,2900,5.480314960629921,2BR
22207,Arlington,Chain Bridge,Condo/Co-op,Condo,274622.5,733.1095945403019,2450,29400,10.705604966818088,1BR,2760,12.0601917177216,2BR
22207,Arlington,Chain Bridge,Single Family Residential,Single Family,1473750.0,3040.0177396166478,3450,41400,2.8091603053435112,3BR,4070,3.3139949109414757,4BR
22207,Arlington,Chain Bridge,Townhouse,Townhouse,895000.0,1885.2328478992495,3450,41400,4.625698324022346,3BR,2760,3.700558659217877,2BR
22209,Arlington,Rosslyn,Condo/Co-op,Condo,434998.75,821.9816803859957,2470,29640,6.81381268336978,1BR,2780,7.668987554561939,2BR
22209,Arlington,Rosslyn,Single Family Residential,Single Family,2184000.0,5058.405208152987,3480,41760,1.912087912087912,3BR,4100,2.2527472527472527,4BR
22209,Arlington,Rosslyn,Townhouse,Townhouse,1333750.0,2067.475941422244,3480,41760,3.1310215557638235,3BR,2780,2.5012183692596066,2BR
22213,Arlington,Lee Heights,Condo/Co-op,Condo,544500.0,1121.3151174140887,3080,36960,6.787878787878789,1BR,3470,7.647382920110194,2BR
22213,Arlington,Lee Heights,Single Family Residential,Single Family,2348936.5,5202.313162870694,4340,52080,2.2171736017555177,3BR,5120,2.615651806679321,4BR
22213,Arlington,Lee Heights,Townhouse,Townhouse,716300.0,1333.0000000006362,4340,52080,7.270696635487924,3BR,3470,5.813206756945414,2BR
22215,Arlington,Arlington (22215),Condo/Co-op,Condo,581249.75,1134.4999999998836,2380,28560,4.913550500451828,1BR,2680,5.532905605550798,2BR
20001,Washington DC,Shaw / U St,Condo/Co-op,Condo,558750.0,864.4017971758778,2830,33960,6.0778523489932885,1BR,3190,6.851006711409396,2BR
20001,Washington DC,Shaw / U St,Single Family Residential,Single Family,1220000.0,2899.999999998284,3990,47880,3.9245901639344263,3BR,4700,4.6229508196721305,4BR
20001,Washington DC,Shaw / U St,Townhouse,Townhouse,878750.0,1728.5815826060737,3990,47880,5.448648648648648,3BR,3190,4.356187766714083,2BR
20002,Washington DC,Capitol Hill NE / H St,Condo/Co-op,Condo,447075.0,814.5543661828026,2100,25200,5.636638147961751,1BR,2360,6.334507632947492,2BR
20002,Washington DC,Capitol Hill NE / H St,Single Family Residential,Single Family,666250.0,2024.3228255923402,2950,35400,5.313320825515948,3BR,3480,6.267917448405254,4BR
20002,Washington DC,Capitol Hill NE / H St,Townhouse,Townhouse,839800.0,1711.0037922655242,2950,35400,4.21528935460824,3BR,2360,3.372231483686592,2BR
20003,Washington DC,Capitol Hill SE / Navy Yd,Condo/Co-op,Condo,546750.0,853.6884538915979,3080,36960,6.759945130315501,1BR,3470,7.615912208504801,2BR
20003,Washington DC,Capitol Hill SE / Navy Yd,Single Family Residential,Single Family,1220954.75,1705.246897408454,4340,52080,4.26551434440957,3BR,5120,5.032127521515437,4BR
20003,Washington DC,Capitol Hill SE / Navy Yd,Townhouse,Townhouse,1065275.0,1748.1738003812109,4340,52080,4.8888784586139735,3BR,3470,3.9088498275093286,2BR
20004,Washington DC,Penn Quarter,Condo/Co-op,Condo,472500.0,771.7660192655901,2960,35520,7.517460317460317,1BR,3330,8.457142857142857,2BR
20005,Washington DC,Downtown / K St,Condo/Co-op,Condo,557500.0,772.3776465581439,2580,30960,5.553363228699552,1BR,2900,6.242152466367713,2BR
20005,Washington DC,Downtown / K St,Single Family Residential,Single Family,290000.0,1500.0000000005136,3630,43560,15.020689655172415,3BR,4280,17.71034482758621,4BR
20005,Washington DC,Downtown / K St,Townhouse,Townhouse,1080000.0,1349.3367783323654,3630,43560,4.033333333333333,3BR,2900,3.2222222222222223,2BR
20006,Washington DC,Foggy Bottom,Condo/Co-op,Condo,240000.0,474.06860936927836,2020,24240,10.100000000000001,1BR,2270,11.35,2BR
20006,Washington DC,Foggy Bottom,Single Family Residential,Single Family,311000.0,nan,2840,34080,10.958199356913182,3BR,3350,12.92604501607717,4BR
20007,Washington DC,Georgetown,Condo/Co-op,Condo,500000.0,835.1121985289922,2270,27240,5.448,1BR,2550,6.12,2BR
20007,Washington DC,Georgetown,Single Family Residential,Single Family,2652500.0,4261.881247485562,3190,38280,1.443166823751178,3BR,3760,1.7010367577756833,4BR
20007,Washington DC,Georgetown,Townhouse,Townhouse,1523750.0,2048.9220073999295,3190,38280,2.512223133716161,3BR,2550,2.0082034454470876,2BR
20008,Washington DC,Cleveland Pk / Kalorama,Condo/Co-op,Condo,446500.0,867.9515560063708,2760,33120,7.417693169092946,1BR,3110,8.358342665173572,2BR
20008,Washington DC,Cleveland Pk / Kalorama,Single Family Residential,Single Family,2451250.0,3765.6329099228487,3890,46680,1.9043345232024476,3BR,4590,2.2470168281489036,4BR
20008,Washington DC,Cleveland Pk / Kalorama,Townhouse,Townhouse,1904375.0,2960.840126624903,3890,46680,2.451197899573351,3BR,3110,1.9596980636691828,2BR
20009,Washington DC,Adams Morgan,Condo/Co-op,Condo,510000.0,768.3536682526851,3080,36960,7.247058823529412,1BR,3470,8.16470588235294,2BR
20009,Washington DC,Adams Morgan,Single Family Residential,Single Family,1796250.0,2208.3677455560337,4340,52080,2.8993736951983298,3BR,5120,3.4204592901878916,4BR
20009,Washington DC,Adams Morgan,Townhouse,Townhouse,1170000.0,1733.7306026171282,4340,52080,4.451282051282051,3BR,3470,3.5589743589743588,2BR
20010,Washington DC,Columbia Heights,Condo/Co-op,Condo,520000.0,963.3766578202997,2250,27000,5.1923076923076925,1BR,2530,5.838461538461538,2BR
20010,Washington DC,Columbia Heights,Single Family Residential,Single Family,520750.0,1057.8579263282006,3160,37920,7.28180508881421,3BR,3730,8.595295247239559,4BR
20010,Washington DC,Columbia Heights,Townhouse,Townhouse,847250.0,1884.1380327831641,3160,37920,4.475656535851283,3BR,2530,3.583357922691059,2BR
20011,Washington DC,Petworth / Brightwood,Condo/Co-op,Condo,385750.0,822.7798027213335,1760,21120,5.475048606610499,1BR,1980,6.159429682436811,2BR
20011,Washington DC,Petworth / Brightwood,Single Family Residential,Single Family,1005500.0,2706.0545207801656,2480,29760,2.95972153157633,3BR,2920,3.4848334162108405,4BR
20011,Washington DC,Petworth / Brightwood,Townhouse,Townhouse,706525.0,1792.073280496299,2480,29760,4.212165174622271,3BR,1980,3.362938324900039,2BR
20012,Washington DC,Shepherd Park,Condo/Co-op,Condo,499900.0,930.4445242880092,1600,19200,3.840768153630726,1BR,1800,4.3208641728345665,2BR
20012,Washington DC,Shepherd Park,Single Family Residential,Single Family,1004500.0,2593.7203550109116,2250,27000,2.687904430064709,3BR,2650,3.1657541065206574,4BR
20012,Washington DC,Shepherd Park,Townhouse,Townhouse,686875.0,1632.264823625579,2250,27000,3.9308462238398545,3BR,1800,3.1446769790718836,2BR
20015,Washington DC,Chevy Chase DC,Condo/Co-op,Condo,625000.0,909.4400994729051,2010,24120,3.8592,1BR,2260,4.3392,2BR
20015,Washington DC,Chevy Chase DC,Single Family Residential,Single Family,1650125.0,3003.2813341652827,2830,33960,2.058025907128248,3BR,3330,2.4216347246420726,4BR
20015,Washington DC,Chevy Chase DC,Townhouse,Townhouse,1180000.0,1969.8253871602415,2830,33960,2.8779661016949154,3BR,2260,2.2983050847457624,2BR
20016,Washington DC,Tenleytown / Palisades,Condo/Co-op,Condo,408250.0,994.08792311892,2350,28200,6.907532149418248,1BR,2640,7.759951010410288,2BR
20016,Washington DC,Tenleytown / Palisades,Single Family Residential,Single Family,1859750.0,2931.5041357249966,3300,39600,2.1293184567818253,3BR,3890,2.5100147869337275,4BR
20016,Washington DC,Tenleytown / Palisades,Townhouse,Townhouse,1320000.0,2146.7461091137966,3300,39600,3.0,3BR,2640,2.4,2BR
20017,Washington DC,Brookland,Condo/Co-op,Condo,434400.0,873.0623615964462,1800,21600,4.972375690607735,1BR,2030,5.607734806629834,2BR
20017,Washington DC,Brookland,Single Family Residential,Single Family,824750.0,2254.0981876916057,2540,30480,3.6956653531373145,3BR,2990,4.35040921491361,4BR
20017,Washington DC,Brookland,Townhouse,Townhouse,626250.0,1658.4566226414736,2540,30480,4.867065868263473,3BR,2030,3.8898203592814373,2BR
20018,Washington DC,Woodridge / Ft Totten,Condo/Co-op,Condo,408750.0,790.6976744186046,1340,16080,3.9339449541284406,1BR,1510,4.43302752293578,2BR
20018,Washington DC,Woodridge / Ft Totten,Single Family Residential,Single Family,677500.0,1982.6815179983964,1890,22680,3.34760147601476,3BR,2230,3.9498154981549813,4BR
20018,Washington DC,Woodridge / Ft Totten,Townhouse,Townhouse,522475.0,1746.7807249059888,1890,22680,4.34087755394995,3BR,1510,3.4681085219388486,2BR
20019,Washington DC,Deanwood / Benning,Condo/Co-op,Condo,151000.0,736.8287315218155,1410,16920,11.205298013245033,1BR,1590,12.635761589403973,2BR
20019,Washington DC,Deanwood / Benning,Single Family Residential,Single Family,435000.0,1819.0943611977386,1990,23880,5.489655172413793,3BR,2350,6.482758620689655,4BR
20019,Washington DC,Deanwood / Benning,Townhouse,Townhouse,402750.0,1459.5646128481205,1990,23880,5.929236499068901,3BR,1590,4.737430167597766,2BR
20020,Washington DC,Anacostia,Condo/Co-op,Condo,156250.0,760.7929420605622,1440,17280,11.059199999999999,1BR,1620,12.4416,2BR
20020,Washington DC,Anacostia,Single Family Residential,Single Family,507500.0,2026.8973935686186,2030,24360,4.8,3BR,2390,5.651231527093596,4BR
20020,Washington DC,Anacostia,Townhouse,Townhouse,407250.0,1594.5598233479368,2030,24360,5.98158379373849,3BR,1620,4.773480662983425,2BR
20024,Washington DC,SW Waterfront / Wharf,Condo/Co-op,Condo,381000.0,767.5039569289397,2260,27120,7.118110236220472,1BR,2540,8.0,2BR
20024,Washington DC,SW Waterfront / Wharf,Townhouse,Townhouse,753725.0,1687.6712328767123,3180,38160,5.062854489369465,3BR,2540,4.0439152210686915,2BR
20032,Washington DC,Congress Hts South,Condo/Co-op,Condo,131000.0,680.5070357031772,1450,17400,13.282442748091603,1BR,1630,14.931297709923664,2BR
20032,Washington DC,Congress Hts South,Single Family Residential,Single Family,427500.0,1869.5000000017767,2040,24480,5.726315789473684,3BR,2400,6.7368421052631575,4BR
20032,Washington DC,Congress Hts South,Townhouse,Townhouse,402225.0,1528.6228620751963,2040,24480,6.086145813910125,3BR,1630,4.8629498415066195,2BR
20036,Washington DC,Dupont Circle,Condo/Co-op,Condo,370875.0,587.1167921178404,2370,28440,7.668351870576339,1BR,2670,8.639029322548028,2BR
20036,Washington DC,Dupont Circle,Townhouse,Townhouse,1700000.0,2878.2423748943993,3340,40080,2.357647058823529,3BR,2670,1.8847058823529412,2BR
20037,Washington DC,West End,Condo/Co-op,Condo,496900.0,804.6435473364011,2510,30120,6.061581807204669,1BR,2820,6.8102233849869185,2BR
20037,Washington DC,West End,Single Family Residential,Single Family,1350000.0,1790.0000000001855,3530,42360,3.1377777777777776,3BR,4160,3.6977777777777776,4BR
20037,Washington DC,West End,Townhouse,Townhouse,854975.0,987.8476844563844,3530,42360,4.9545308342349195,3BR,2820,3.958010468142344,2BR
